sector_id,line_code,from_station_id,to_station_id,seq,is_shared
SEC:ALP:S01_S02,ALP,S01,S02,1,0
SEC:ALP:S02_S03,ALP,S02,S03,2,0
SEC:ALP:S03_S04,ALP,S03,S04,3,0
SEC:ALP:S04_H01,ALP,S04,H01,4,0
SEC:ALP:H01_H02,ALP,H01,H02,5,0
SEC:ALP:H02_S05,ALP,H02,S05,6,0
SEC:ALP:S05_S06,ALP,S05,S06,7,0
SEC:ALP:S06_S07,ALP,S06,S07,8,0
SEC:ALP:S07_S08,ALP,S07,S08,9,0
SEC:BET:S11_S12,BET,S11,S12,10,0
SEC:BET:S12_S13,BET,S12,S13,11,0
SEC:BET:S13_S14,BET,S13,S14,12,0
SEC:BET:S14_H01,BET,S14,H01,13,0
SEC:BET:H01_H02,BET,H01,H02,14,0
SEC:BET:H02_S15,BET,H02,S15,15,0
SEC:BET:S15_S16,BET,S15,S16,16,0
SEC:BET:S16_S17,BET,S16,S17,17,0
SEC:BET:S17_S18,BET,S17,S18,18,0
