location_id,location_kind,line_code,bound,supply_capacity
SEC:ALP:S01_S02:EB,tunnel sector,ALP,EB,4
SEC:ALP:S01_S02:WB,tunnel sector,ALP,WB,4
SEC:ALP:S02_S03:EB,tunnel sector,ALP,EB,4
SEC:ALP:S02_S03:WB,tunnel sector,ALP,WB,4
SEC:ALP:S03_S04:EB,tunnel sector,ALP,EB,4
SEC:ALP:S03_S04:WB,tunnel sector,ALP,WB,4
SEC:ALP:S04_H01:EB,tunnel sector,ALP,EB,2
SEC:ALP:S04_H01:WB,tunnel sector,ALP,WB,2
SEC:ALP:H01_H02:EB,tunnel sector,ALP,EB,1
SEC:ALP:H01_H02:WB,tunnel sector,ALP,WB,1
SEC:ALP:H02_S05:EB,tunnel sector,ALP,EB,2
SEC:ALP:H02_S05:WB,tunnel sector,ALP,WB,2
SEC:ALP:S05_S06:EB,tunnel sector,ALP,EB,4
SEC:ALP:S05_S06:WB,tunnel sector,ALP,WB,4
SEC:ALP:S06_S07:EB,tunnel sector,ALP,EB,4
SEC:ALP:S06_S07:WB,tunnel sector,ALP,WB,4
SEC:ALP:S07_S08:EB,tunnel sector,ALP,EB,4
SEC:ALP:S07_S08:WB,tunnel sector,ALP,WB,4
SEC:BET:S11_S12:EB,tunnel sector,BET,EB,4
SEC:BET:S11_S12:WB,tunnel sector,BET,WB,4
SEC:BET:S12_S13:EB,tunnel sector,BET,EB,4
SEC:BET:S12_S13:WB,tunnel sector,BET,WB,4
SEC:BET:S13_S14:EB,tunnel sector,BET,EB,4
SEC:BET:S13_S14:WB,tunnel sector,BET,WB,4
SEC:BET:S14_H01:EB,tunnel sector,BET,EB,2
SEC:BET:S14_H01:WB,tunnel sector,BET,WB,2
SEC:BET:H01_H02:EB,tunnel sector,BET,EB,1
SEC:BET:H01_H02:WB,tunnel sector,BET,WB,1
SEC:BET:H02_S15:EB,tunnel sector,BET,EB,2
SEC:BET:H02_S15:WB,tunnel sector,BET,WB,2
SEC:BET:S15_S16:EB,tunnel sector,BET,EB,4
SEC:BET:S15_S16:WB,tunnel sector,BET,WB,4
SEC:BET:S16_S17:EB,tunnel sector,BET,EB,4
SEC:BET:S16_S17:WB,tunnel sector,BET,WB,4
SEC:BET:S17_S18:EB,tunnel sector,BET,EB,4
SEC:BET:S17_S18:WB,tunnel sector,BET,WB,4
PLAT:ALP:S01:EB,platform sector,ALP,EB,2
PLAT:ALP:S01:WB,platform sector,ALP,WB,2
PLAT:ALP:S02:EB,platform sector,ALP,EB,2
PLAT:ALP:S02:WB,platform sector,ALP,WB,2
PLAT:ALP:S03:EB,platform sector,ALP,EB,2
PLAT:ALP:S03:WB,platform sector,ALP,WB,2
PLAT:ALP:S04:EB,platform sector,ALP,EB,2
PLAT:ALP:S04:WB,platform sector,ALP,WB,2
PLAT:ALP:H01:EB,platform sector,ALP,EB,1
PLAT:ALP:H01:WB,platform sector,ALP,WB,1
PLAT:ALP:H02:EB,platform sector,ALP,EB,1
PLAT:ALP:H02:WB,platform sector,ALP,WB,1
PLAT:ALP:S05:EB,platform sector,ALP,EB,2
PLAT:ALP:S05:WB,platform sector,ALP,WB,2
PLAT:ALP:S06:EB,platform sector,ALP,EB,2
PLAT:ALP:S06:WB,platform sector,ALP,WB,2
PLAT:ALP:S07:EB,platform sector,ALP,EB,2
PLAT:ALP:S07:WB,platform sector,ALP,WB,2
PLAT:ALP:S08:EB,platform sector,ALP,EB,2
PLAT:ALP:S08:WB,platform sector,ALP,WB,2
PLAT:BET:S11:EB,platform sector,BET,EB,2
PLAT:BET:S11:WB,platform sector,BET,WB,2
PLAT:BET:S12:EB,platform sector,BET,EB,2
PLAT:BET:S12:WB,platform sector,BET,WB,2
PLAT:BET:S13:EB,platform sector,BET,EB,2
PLAT:BET:S13:WB,platform sector,BET,WB,2
PLAT:BET:S14:EB,platform sector,BET,EB,2
PLAT:BET:S14:WB,platform sector,BET,WB,2
PLAT:BET:H01:EB,platform sector,BET,EB,1
PLAT:BET:H01:WB,platform sector,BET,WB,1
PLAT:BET:H02:EB,platform sector,BET,EB,1
PLAT:BET:H02:WB,platform sector,BET,WB,1
PLAT:BET:S15:EB,platform sector,BET,EB,2
PLAT:BET:S15:WB,platform sector,BET,WB,2
PLAT:BET:S16:EB,platform sector,BET,EB,2
PLAT:BET:S16:WB,platform sector,BET,WB,2
PLAT:BET:S17:EB,platform sector,BET,EB,2
PLAT:BET:S17:WB,platform sector,BET,WB,2
PLAT:BET:S18:EB,platform sector,BET,EB,2
PLAT:BET:S18:WB,platform sector,BET,WB,2
